#_avanzadas,Jugador,Equipo,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,#_totales,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,#,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS
72,DEVON DOTSON,JOV,0.513,0.458,132.7,1.4,7.6,5.0,29.7,16.9,3.5,0.5,24.0,3.2,1.2,105.7,109.2,-3.6,57.4,14.9,34,8,210.0,86,31,71,0.437,3,18,0.167,21,29,0.724,2,14,16,35,13,1,17,18,,,,,,,,,,,,,,,,,,,,
44,DONTA HALL,BASK,0.746,0.71,145.0,9.1,21.1,15.1,5.2,17.3,0.9,5.3,13.2,-2.7,2.1,135.8,117.8,18.0,67.6,17.9,73,7,183.0,64,22,31,0.71,0,0,0.0,20,27,0.741,13,30,43,6,3,9,9,15,,,,,,,,,,,,,,,,,,,,
79,DRAGAN APIC,BRE,0.617,0.588,128.1,4.2,15.4,9.4,10.1,15.0,2.7,0.9,15.8,-1.7,1.4,112.2,109.6,2.6,35.6,14.2,109,8,137.1,49,20,34,0.588,0,0,0.0,9,13,0.692,5,16,21,7,7,1,7,16,,,,,,,,,,,,,,,,,,,,
6,DYLAN ENNIS,MUR,0.652,0.638,157.9,3.1,7.0,4.9,23.3,8.4,3.2,1.9,25.0,3.0,1.5,127.5,103.5,24.0,94.5,24.7,2,8,221.0,142,48,94,0.511,24,57,0.421,22,34,0.647,6,11,17,25,13,4,10,21,,,,,,,,,,,,,,,,,,,,
63,DYLAN OSETKOWSKI,UNI,0.49,0.452,148.7,10.4,26.2,18.2,6.6,8.2,3.0,0.8,24.5,-1.4,1.1,103.9,102.0,1.8,46.8,15.8,67,8,140.5,66,24,62,0.387,8,30,0.267,10,12,0.833,11,27,38,6,8,1,6,17,,,,,,,,,,,,,,,,,,,,
8,DZANAN MUSA,RMB,0.674,0.578,165.3,8.0,16.4,12.7,10.0,12.2,1.8,0.0,26.1,-3.1,1.8,132.6,107.4,25.2,37.9,24.5,88,5,89.4,58,16,32,0.5,5,16,0.313,21,25,0.84,5,13,18,5,3,0,6,7,,,,,,,,,,,,,,,,,,,,
119,EDGAR VICEDO,GRA,0.511,0.457,130.9,5.1,22.0,12.7,5.1,8.7,2.3,1.5,15.2,-0.9,1.2,106.1,107.1,-0.9,32.5,11.1,122,8,140.7,43,13,35,0.371,6,24,0.25,11,16,0.688,6,21,27,4,6,2,4,16,,,,,,,,,,,,,,,,,,,,
147,EDIN ATIC,BRE,0.397,0.397,55.3,4.3,22.4,12.7,15.3,22.7,2.0,3.0,12.9,-0.4,0.8,80.7,108.3,-27.6,32.8,7.0,149,8,159.2,27,12,34,0.353,3,15,0.2,0,0,0.0,6,27,33,14,6,4,10,18,,,,,,,,,,,,,,,,,,,,
84,EDO MURIC,FOR,0.6,0.594,147.9,5.4,12.1,8.7,5.5,10.6,2.1,0.0,19.4,-2.6,1.3,112.1,110.7,1.4,44.8,13.7,46,8,174.1,81,28,64,0.438,20,48,0.417,5,8,0.625,8,17,25,5,7,0,8,20,,,,,,,,,,,,,,,,,,,,
47,EDY TAVARES,RMB,0.588,0.58,118.0,15.2,18.6,17.1,7.9,18.1,1.5,6.5,18.1,-3.9,1.3,113.9,102.3,11.6,64.0,17.6,72,8,176.4,64,29,50,0.58,0,0,0.0,6,10,0.6,18,29,47,8,5,11,12,21,,,,,,,,,,,,,,,,,,,,
87,ELI JOHN N'DIAYE,RMB,0.646,0.62,190.5,10.7,18.9,15.4,1.3,18.6,3.1,1.7,12.4,-4.4,1.4,118.6,100.6,18.0,35.4,13.7,138,8,125.0,34,13,25,0.52,5,13,0.385,3,3,1.0,9,21,30,1,7,2,6,15,,,,,,,,,,,,,,,,,,,,
