#,Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER
103,Charlie Moore,BRE,.525,.506,155.2,1.1,5.0,2.9,30.6,18.2,1.9,0.0,24.3,0.5,1.1,98.3,115.4,-17.0,47.3,12.1
104,Juan Nunez,FCB,.484,.435,136.0,4.9,23.2,14.9,28.6,26.0,2.6,0.9,17.9,3.2,1.1,100.5,106.1,-5.5,38.9,12.1
105,Kristian Kullamae,BBB,.463,.452,121.2,0.9,12.9,7.2,24.2,9.5,1.5,0.8,25.5,3.1,1.0,97.8,111.3,-13.5,31.6,12.1
106,Mindaugas Susinskas,SJG,.652,.583,195.0,2.5,8.5,5.4,7.4,18.5,1.2,0.0,21.9,-6.5,1.5,110.2,115.6,-5.4,14.0,12.0
107,Troy Caupain,MUR,.555,.565,83.5,1.8,11.6,6.2,17.0,17.6,2.7,0.0,21.2,-1.6,1.1,101.3,110.6,-9.3,13.1,11.9
108,Gabriel Deck,RMB,.628,.575,157.2,0.9,15.1,9.0,3.8,13.8,0.6,0.6,16.5,-3.2,1.6,116.2,108.8,7.5,34.1,11.8
109,Edgar Vicedo,GRA,.533,.467,137.3,5.7,21.2,12.6,5.9,9.9,2.1,1.7,14.8,-1.0,1.3,110.1,107.9,2.3,30.9,11.7
110,Kenny Hasbrouck,FOR,.584,.575,151.7,1.0,9.4,5.2,12.8,17.7,1.4,1.9,26.3,-6.2,1.2,97.2,108.4,-11.2,22.3,11.7
111,Yannick Kraag,JOV,.565,.532,175.7,12.4,13.3,12.9,4.8,15.5,2.3,1.3,13.3,-2.4,1.2,113.0,108.4,4.6,32.5,11.5
112,Tomasz Gielo,BBB,.612,.563,173.0,3.0,10.1,6.7,3.9,10.0,0.8,3.3,14.6,-1.5,1.4,118.0,113.0,5.0,26.9,11.3
113,Jonathan Rousselle,GRA,.391,.308,126.3,3.7,12.6,7.7,46.4,11.8,2.5,0.0,18.1,12.3,0.9,104.5,109.4,-4.9,34.1,11.3
114,A.J. Durham,SJG,.519,.437,156.5,0.7,7.6,4.1,22.9,14.5,0.6,0.6,26.5,-1.5,1.2,100.3,117.0,-16.6,25.1,11.1
115,Ingus Jakovics,LBC,.523,.477,152.2,2.0,9.0,5.3,28.9,21.4,2.6,0.0,22.8,1.4,1.2,101.0,122.1,-21.1,28.1,11.0
116,Rafael Villar,FOR,.519,.409,137.6,0.9,5.3,3.0,33.8,28.3,4.5,0.8,18.1,1.4,1.3,97.2,106.7,-9.5,30.9,10.9
117,Jonah Radebaugh,MUR,.418,.352,118.2,5.4,5.6,5.5,15.2,12.0,4.9,0.8,20.6,0.8,1.0,92.7,103.2,-10.5,23.4,10.8
118,Eric Vila,BRE,.459,.440,126.0,8.9,11.7,10.2,8.0,11.4,2.3,2.0,20.8,-2.2,1.0,94.2,111.9,-17.7,23.4,10.8
119,Yunio Barrueta,LBC,.510,.485,153.4,2.2,11.3,6.5,5.9,4.0,0.9,0.0,20.1,0.6,1.1,108.7,125.6,-17.0,33.0,10.6
120,Kevin Punter,FCB,.457,.357,151.0,0.0,9.0,4.9,15.8,11.0,2.3,0.8,22.1,2.2,1.1,99.5,111.4,-12.0,26.5,10.5
121,Adam Hanga,JOV,.499,.471,147.5,4.7,15.6,10.8,11.8,11.6,0.9,2.4,16.7,0.8,1.1,105.7,109.3,-3.6,27.9,10.2
122,Ike Iroegbu,SJG,.470,.343,134.9,2.5,12.7,7.4,21.0,15.2,1.1,0.5,25.2,-1.3,1.2,95.0,114.7,-19.7,33.3,10.2
123,Jordan Sakho,BRE,.520,.467,111.4,12.4,23.6,17.6,3.8,25.8,1.5,5.2,16.8,-7.8,1.3,90.8,109.0,-18.2,32.1,10.1
124,Brancou Badio,VAL,.436,.338,129.4,3.7,10.5,6.7,20.1,13.0,1.5,1.0,17.6,3.7,1.0,109.5,110.2,-0.8,23.0,10.0
125,Santiago Yusta,ZAR,.464,.456,110.1,5.2,12.4,8.9,11.7,18.0,4.1,0.0,22.7,-3.8,1.0,91.9,109.2,-17.4,27.9,10.0
126,Darrun Hilliard,BRE,.513,.468,144.5,1.9,11.5,6.3,16.6,18.7,1.5,0.0,27.6,-5.5,1.1,91.3,114.9,-23.6,29.8,9.9
127,Jonathan Barreiro,UNI,.609,.614,131.8,5.3,18.6,11.7,4.5,24.5,2.2,0.0,15.6,-6.1,1.4,96.3,106.0,-9.7,20.5,9.9
128,Jordan Davis,BRE,.428,.421,129.5,3.9,17.1,10.0,17.7,18.5,4.7,0.0,25.0,-4.0,0.9,79.9,108.6,-28.7,17.3,9.7
129,Marko Todorovic,MUR,.388,.347,104.2,17.1,12.5,15.0,13.2,6.8,1.6,0.0,29.4,0.5,0.9,95.3,109.9,-14.6,8.5,9.5
130,Gian Clavell,GRA,.480,.421,145.0,2.3,15.5,8.2,11.1,14.1,1.7,0.7,27.7,-5.0,1.1,91.3,110.2,-18.9,22.6,9.4
131,Retin Obasohan,MAN,.435,.363,129.0,5.7,6.9,6.3,18.2,12.8,2.5,0.0,25.6,-1.1,1.0,96.7,101.0,-4.4,19.4,9.3
132,Ruben Guerrero,GRA,.651,.667,116.7,8.8,14.3,11.3,6.9,24.5,1.6,0.8,9.7,-2.7,1.6,109.9,110.7,-0.8,25.8,9.2
133,Corey Walden,FOR,.431,.328,120.4,5.3,9.1,7.2,16.0,9.2,2.7,0.8,14.4,3.3,1.1,104.4,109.3,-4.9,25.1,9.1
134,Aleksandar Aranitovic,BRE,.433,.390,133.7,3.8,18.9,10.7,9.3,12.4,2.8,0.8,19.6,-1.7,1.0,88.2,109.8,-21.6,29.1,9.0
135,Yoanki Mensia,ZAR,.424,.304,113.8,3.5,11.6,7.6,3.5,6.6,3.3,2.6,17.5,-0.8,1.0,98.0,111.1,-13.1,11.0,9.0
136,Khalifa Diop,BASK,.599,.538,116.3,12.8,16.9,14.9,6.7,31.0,0.5,3.0,12.4,-5.3,1.8,105.8,122.3,-16.5,20.3,8.7
137,Michael Ruzic,JOV,.510,.531,110.4,5.9,13.2,10.1,4.6,9.7,1.4,2.5,13.4,-0.9,1.2,103.2,109.3,-6.2,12.5,8.5
138,Jake Wiley,GRA,.468,.410,122.8,8.6,16.7,12.2,11.3,21.5,0.9,4.2,20.7,-5.9,1.1,87.0,109.7,-22.6,22.1,8.5
139,Edin Atic,BRE,.411,.411,58.8,3.5,21.8,11.9,16.6,20.0,2.4,3.6,12.2,1.2,0.8,86.6,108.4,-21.8,30.3,8.3
140,Scott Bamforth,GRA,.449,.429,136.4,0.9,17.4,8.3,19.8,13.0,1.2,0.0,28.5,-2.2,0.9,87.7,111.6,-23.9,19.5,8.1
141,Howard Sant-Roos,MUR,.403,.346,126.6,2.5,17.1,9.1,13.4,17.2,3.4,0.8,17.0,-0.7,0.9,84.3,102.2,-17.9,26.8,8.1
142,Philip Scrubb,LBC,.504,.438,138.0,5.0,14.7,9.6,12.1,25.6,2.2,0.8,15.5,-3.3,1.2,91.9,121.7,-29.9,28.6,7.9
143,Zoran Dragic,BBB,.439,.344,121.8,3.0,14.5,9.0,20.8,17.7,0.9,0.0,20.3,1.0,1.1,93.2,112.5,-19.3,30.3,7.6
144,Chumi Ortega,AND,.395,.283,120.4,11.8,12.0,11.9,8.6,22.3,3.2,0.0,14.3,-2.8,1.0,90.4,110.6,-20.3,18.1,7.1
